عنوان مقاله,لینک مقاله
گزارش مکتوب وبینار مهندس مهدی ساسانی,https://donyayemali.com/2365/
اصول و مفاهیم پایه مالی,https://donyayemali.com/gold-vision/
چرایی و چگونگی ایجاد بازارهای مالی,https://donyayemali.com/investment-funds/
علیرضاتوکلی کاشی: بازاربدهی رقیب یا مکمل بازارسهام(فیلم),https://donyayemali.com/derivatives-panel4/
مدیریت ریسک سرمایه گذاری برای عموم (فیلم),https://donyayemali.com/2401-2/
علی مروی: دلار سطلان بلامنازع اقتصاد ایران,https://donyayemali.com/%d9%82%d8%b1%d8%a7%d8%b1%d8%af%d8%a7%d8%af%d9%87%d8%a7%db%8c-%d8%a7%d8%ae%d8%aa%db%8c%d8%a7%d8%b1-%d9%85%d8%b9%d8%a7%d9%85%d9%84%d9%87/
گزارش برگزاری اختتامیه مدرسه تابستانه مالی,https://donyayemali.com/2391-2/
فیلم:فرصت های سرمایه گذاری بازار طلا (حامدحافظی),https://donyayemali.com/2348-2/
فیلم لایو مدیریت اقتصادی و سرمایه گذاری خانواده,https://donyayemali.com/2368-2/
برگزاری مدرسه تابستانه مالی,https://donyayemali.com/2372-2/
فیلم افتتاحیه مدرسه زمستانه مالی,https://donyayemali.com/%d9%85%d9%81%d8%a7%d9%87%db%8c%d9%85-%d9%be%d8%a7%db%8c%d9%87-%d8%b1%db%8c%d8%a7%d8%b6%db%8c%d8%a7%d8%aa-%d9%88-%d9%86%d8%b1%d9%85-%d8%a7%d9%81%d8%b2%d8%a7%d8%b1%d9%87%d8%a7%db%8c-%d9%85%d8%a7%d9%84/
ثاراسادات میران : روانشناسی رفتارمعامله گران در بازاررمزارزها,https://donyayemali.com/%d8%ac%d8%a7%db%8c%da%af%d8%a7%d9%87-%d9%85%d8%a7%d9%84%db%8c-%d8%af%d8%b1-%d8%a7%d9%82%d8%aa%d8%b5%d8%a7%d8%af-%da%a9%d9%84%d8%a7%d9%86/
علی رئوفی : کاربرد هوش مصنوعی در صنعت مالی,https://donyayemali.com/gold-analysis1/
شرایط حاکم بر بازاراملاک و مستغلات و چشم انداز آن در سال ۱۴۰۰,https://donyayemali.com/%d8%af%da%a9%d8%aa%d8%b1-%d8%b1%d8%b6%d8%a7-%d8%aa%d9%87%d8%b1%d8%a7%d9%86%db%8c-%d8%a2%d8%b4%d9%86%d8%a7%db%8c%db%8c-%d8%a8%d8%a7-%d9%85%d8%af%d8%a7%d8%b1%da%a9-%d8%ad%d8%b1%d9%81%d9%87-%d8%a7/
نگاهی برسرمایه گذاری خارجی و تأمین مالی بین المللی ایران,https://donyayemali.com/debt-market/
آشنایی با مبانی مهندسی مالی ومدیریت ریسک,https://donyayemali.com/cmlaw/
گزارش مکتوب وبینار روزهای نامتعادل درسی برای آینده بازارسرمایه,https://donyayemali.com/ime-panel/
گزارش نشست عرضه خودرو در بورس کالا,https://donyayemali.com/2347/
آشنایی با بازارها و نهادهای مالی,https://donyayemali.com/2335-2/
مهدی سوری:چشم انداز بازارسهام در نیمه دوم سال۱۴۰۰ (فیلم),https://donyayemali.com/2342/
آشنایی با بازاردارایی های فکری(فیلم),https://donyayemali.com/2375/
آشنایی با فراصندوق(fund of funds),https://donyayemali.com/%d8%b3%db%8c%d9%86%d8%a7%d8%b3%d8%b1%d9%88%db%8c%d9%85%d8%b3%db%8c%d8%b1%d9%85%d8%b9%d8%a7%d9%85%d9%84%d9%87-%da%af%d8%b1%db%8c-%d8%ad%d8%b1%d9%81%d9%87-%d8%a7%db%8c-%d8%af%d8%b1-%d8%a7%d8%b1%d8%b2/
مفاهیم پایه ریاضیات و نرم افزارهای مالی,https://donyayemali.com/%d8%a2%d8%b4%d9%86%d8%a7%db%8c%db%8c-%d8%a8%d8%a7-%d8%a8%d8%a7%d8%b2%d8%a7%d8%b1%d9%87%d8%a7-%d9%88-%d9%86%d9%87%d8%a7%d8%af%d9%87%d8%a7%db%8c-%d9%85%d8%a7%d9%84%db%8c/
فیلم وبینار بازار اوراق بدهی دکتر سعدوندی,https://donyayemali.com/%d8%a2%d8%b4%d9%86%d8%a7%db%8c%db%8c-%d8%a8%d8%a7-%d8%b5%d9%86%d8%af%d9%88%d9%82-%d9%87%d8%a7%db%8c-%d9%be%d9%88%d8%b4%d8%b4-%d8%b1%db%8c%d8%b3%da%a9-hedge-funds/
سیدعلی مدنی زاده : نقش نظام بانکی در تأمین مالی,https://donyayemali.com/%d8%a8%d8%b1%da%af%d8%b2%d8%a7%d8%b1%db%8c-%d9%85%d8%af%d8%b1%d8%b3%d9%87-%d8%aa%d8%a7%d8%a8%d8%b3%d8%aa%d8%a7%d9%86%d9%87-%d9%85%d8%a7%d9%84%db%8c/
درسگفتارآشنایی با بازار اوراق بدهی+جزوه مکتوب,https://donyayemali.com/%d8%b9%d9%84%db%8c-%d8%b1%d8%a6%d9%88%d9%81%db%8c-%da%a9%d8%a7%d8%b1%d8%a8%d8%b1%d8%af-%d9%87%d9%88%d8%b4-%d9%85%d8%b5%d9%86%d9%88%d8%b9%db%8c-%d8%af%d8%b1-%d8%b5%d9%86%d8%b9%d8%aa-%d9%85%d8%a7/
اصول پژوهشی و استفاده از منابع مطالعاتی مالی,https://donyayemali.com/%d8%a2%d8%b4%d9%86%d8%a7%db%8c%db%8c-%d8%a8%d8%a7-%d9%85%d8%a8%d8%a7%d9%86%db%8c-%d9%85%d9%87%d9%86%d8%af%d8%b3%db%8c-%d9%85%d8%a7%d9%84%db%8c-%d9%88%d9%85%d8%af%db%8c%d8%b1%db%8c%d8%aa-%d8%b1%db%8c/
فیلم:تحلیل بازارطلا و نرخ ارز  (وحید نکویی),https://donyayemali.com/%d8%a7%d8%b5%d9%88%d9%84-%d9%88-%d9%85%d9%81%d8%a7%d9%87%db%8c%d9%85-%d9%be%d8%a7%db%8c%d9%87-%d9%85%d8%a7%d9%84%db%8c/
فیلم وبینار مبادلات کالایی از طریق ارزهای دیجیتال,https://donyayemali.com/%d9%85%d8%af%db%8c%d8%b1%db%8c%d8%aa-%d8%b1%db%8c%d8%b3%da%a9-%d8%b3%d8%b1%d9%85%d8%a7%db%8c%d9%87-%da%af%d8%b0%d8%a7%d8%b1%db%8c-%d8%a8%d8%b1%d8%a7%db%8c-%d8%b9%d9%85%d9%88%d9%85-%d9%81%db%8c%d9%84/
فیلم وبینارافتتاحیه دوره جامع ابزارمشتقه,https://donyayemali.com/2379/
پاسخ به ۲۵ سؤال رایج فعالین بازارسرمایه در شرایط کنونی,https://donyayemali.com/derivatives-panel2/
جایگاه مالی در اقتصاد کلان,https://donyayemali.com/cbi-policies/
بایدها و نبایدهای سرمایه گذاری در بازارهای موازی و سناریو های محتمل پیش رو,https://donyayemali.com/%d8%a7%d8%b5%d9%88%d9%84-%d9%be%da%98%d9%88%d9%87%d8%b4%db%8c-%d9%88-%d8%a7%d8%b3%d8%aa%d9%81%d8%a7%d8%af%d9%87-%d8%a7%d8%b2-%d9%85%d9%86%d8%a7%d8%a8%d8%b9-%d9%85%d8%b7%d8%a7%d9%84%d8%b9%d8%a7%d8%aa/
فیلم : چالش های بازارمشتقه در ایران(بررسی راهکارها),https://donyayemali.com/%d9%81%db%8c%d9%84%d9%85-%d9%88%d8%a8%db%8c%d9%86%d8%a7%d8%b1-%d8%b1%db%8c%d8%aa-%d9%87%d8%a7%d8%b3%d9%be%d8%b1%d8%aa%d9%88%d8%b1%d9%85%db%8c-%d9%85%d8%b3%da%a9%d9%86-%da%a9%d9%85-%d8%af%d8%b1%d8%a2/
سیناسروی:مسیرمعامله گری حرفه ای در ارزهای دیجیتال(فیلم),https://donyayemali.com/%d8%b9%d9%84%db%8c-%d9%85%d8%b1%d9%88%db%8c-%d8%af%d9%84%d8%a7%d8%b1-%d8%b3%d8%b7%d9%84%d8%a7%d9%86-%d8%a8%d9%84%d8%a7%d9%85%d9%86%d8%a7%d8%b2%d8%b9-%d8%a7%d9%82%d8%aa%d8%b5%d8%a7%d8%af-%d8%a7%db%8c/
دکترحسین عبده تبریزی:آشنایی بادانش مالی(فیلم),https://donyayemali.com/2358/
فیلم وبینار ریت هاسپرتورمی مسکن کم درآمدها,https://donyayemali.com/derivatives-panel1/
اقدامات و برنامه های سازمان بورس برای توسعه بازارمشتقات,https://donyayemali.com/gold-analysis2/
چشم انداز بازار سرمایه در سال ۱۴۰۰,https://donyayemali.com/2353-2/
آتین نراقی : چشم اندزبازار سکه،طلا و ارز تاپایان سال۱۴۰۰,https://donyayemali.com/%da%af%d8%b2%d8%a7%d8%b1%d8%b4-%d9%86%d8%b4%d8%b3%d8%aa-%d8%b9%d8%b1%d8%b6%d9%87-%d8%ae%d9%88%d8%af%d8%b1%d9%88-%d8%af%d8%b1-%d8%a8%d9%88%d8%b1%d8%b3-%da%a9%d8%a7%d9%84%d8%a7/
فرصت ها و چالش های توسعه ابزارمشتقه و بررسی روندبازار سرمایه,https://donyayemali.com/derivatives-panel3/
آثارظهور مشتقات بر بازارها (فیلم ارائه دکترسعدوندی),https://donyayemali.com/%d8%b3%db%8c%d8%af%d8%b9%d9%84%db%8c-%d9%85%d8%af%d9%86%db%8c-%d8%b2%d8%a7%d8%af%d9%87-%d9%86%d9%82%d8%b4-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%a7%d9%86%da%a9%db%8c-%d8%af%d8%b1-%d8%aa%d8%a3%d9%85/
کامران ندری:تأثیرسیاست های بانک مرکزی بربازارهای مالی و سرمایه گذاری(فیلم),https://donyayemali.com/2338/
كارنامه بازارسرمایه در سال ۱۳۹۹,https://donyayemali.com/%d9%81%db%8c%d9%84%d9%85-%d9%88%d8%a8%db%8c%d9%86%d8%a7%d8%b1-%d8%a8%d8%a7%d8%b2%d8%a7%d8%b1-%d8%a7%d9%88%d8%b1%d8%a7%d9%82-%d8%a8%d8%af%d9%87%db%8c-%d8%af%da%a9%d8%aa%d8%b1-%d8%b3%d8%b9%d8%af%d9%88/
قراردادهای اختیار معامله,https://donyayemali.com/%d8%a2%d8%b4%d9%86%d8%a7%db%8c%db%8c-%d8%a8%d8%a7-%d8%a8%d8%a7%d8%b2%d8%a7%d8%b1-%d8%a7%d9%88%d8%b1%d8%a7%d9%82-%d8%a8%d8%af%d9%87%db%8c%d8%ac%d8%b2%d9%88%d9%87-%d9%85%da%a9%d8%aa%d9%88%d8%a8/
طرح پژوهشی احصای نظام مسائل مالی ایران,https://donyayemali.com/%da%86%d8%b1%d8%a7%db%8c%db%8c-%d9%88-%da%86%da%af%d9%88%d9%86%da%af%db%8c-%d8%a7%db%8c%d8%ac%d8%a7%d8%af-%d8%a8%d8%a7%d8%b2%d8%a7%d8%b1%d9%87%d8%a7%db%8c-%d9%85%d8%a7%d9%84%db%8c/
سناریوهای نرخ ارز در نیمه اول سال ۱۴۰۰,https://donyayemali.com/%d8%a2%d8%b4%d9%86%d8%a7%db%8c%db%8c-%d8%a7%d8%ac%d9%85%d8%a7%d9%84%db%8c-%d8%a8%d8%a7-%d8%af%d8%a7%d9%86%d8%b4-%d9%85%d8%a7%d9%84%db%8c/
حسین خزلی:فرصت های شغلی در صنعت مالی(فیلم),https://donyayemali.com/behavioral-finance/
آشنایی با صندوق های پوشش ریسک (hedge funds),https://donyayemali.com/2367-2/
حسن بان:چشم اندازبازاراملاک و مستغلات تاپایان سال۱۴۰۰(فیلم),https://donyayemali.com/2369-2/
روش های تأمین مالی از بازار سرمایه,https://donyayemali.com/2370/
