عنوان دوره,لینک دوره
تحلیل و مصورسازی داده ها (دوره جامع),https://donyayemali.com/product/%d8%af%d9%88%d9%85%db%8c%d9%86-%d8%af%d9%88%d8%b1%d9%87-%d8%ac%d8%a7%d9%85%d8%b9-%d8%a2%d9%85%d8%a7%d8%af%da%af%db%8c-%d8%a2%d8%b2%d9%85%d9%88%d9%86-%d8%a7%d8%b5%d9%88%d9%84-%d8%a8%d8%a7%d8%b2%d8%a7/
سرمایه گذاری درطلا,https://donyayemali.com/product/2430/
تجزیه و تحلیل صورت های مالی(دوره جامع),https://donyayemali.com/product/%d8%af%d9%88%d8%b1%d9%87-%d8%ac%d8%a7%d9%85%d8%b9-%d9%86%d8%b3%d9%84-%d8%af%d9%88%d9%85-%d9%85%d8%a7%d9%84%db%8c-%d8%b1%d9%81%d8%aa%d8%a7%d8%b1%db%8c-%d8%af%d8%b1-%d8%a7%db%8c%d8%b1%d8%a7%d9%86/
تحلیلگری بازارطلا، سکه و ارز,https://donyayemali.com/product/2425/
آشنایی با علم داده و معاملات الگوریتمی(دوره خیریه),https://donyayemali.com/product/2414/
دوره ورود موفق به بازار سرمایه,https://donyayemali.com/product/%d8%aa%d8%ad%d9%84%db%8c%d9%84%da%af%d8%b1%db%8c-%d8%af%d8%a7%d8%af%d9%87-%d9%87%d8%a7%db%8c-%d8%a7%d9%82%d8%aa%d8%b5%d8%a7%d8%af%db%8c-%d9%88-%d9%85%d8%a7%d9%84%db%8c-%d8%a8%d8%a7-%d9%be%d8%a7%db%8c/
تحلیل صنایع بورسی(گروه معدنی),https://donyayemali.com/product/2452/
ارتقای مهارت های فردی و ارتباطی و برندسازی,https://riskav.com/product/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%85%D8%AF%D8%B1%D9%86-%D9%88-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF%DB%8C-%D8%A7%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1-%D9%85%D8%B9%D8%A7%D9%85%D9%84%D9%87-%D8%A2%D9%BE%D8%B4/
مفاهیم مالی برای سرمایه گذاران,https://donyayemali.com/product/2380/
دوره جامع تحلیلگری صنایع بورسی,https://donyayemali.com/product/%d8%aa%d8%ac%d8%b2%db%8c%d9%87-%d9%88-%d8%aa%d8%ad%d9%84%db%8c%d9%84-%d8%b5%d9%88%d8%b1%d8%aa-%d9%87%d8%a7%db%8c-%d9%85%d8%a7%d9%84%db%8c%d8%af%d9%88%d8%b1%d9%87-%d8%ac%d8%a7%d9%85%d8%b9/
ساز و کار تأمین مالی پروژه ای و شرکت های سهامی عام پروژه,https://donyayemali.com/product/2410/
مدرسه زمستانه مالی,https://donyayemali.com/product/2351/
0,https://donyayemali.com/product/%d8%aa%d8%ad%d9%84%db%8c%d9%84%da%af%d8%b1%db%8c-%d8%a8%d8%a7%d8%b2%d8%a7%d8%b1%d8%b7%d9%84%d8%a7%d8%8c-%d8%b3%da%a9%d9%87-%d9%88-%d8%a7%d8%b1%d8%b2/
دوره جامع مدیریت و ارزشگذاری برند ، فناوری و تکنولوژی,https://donyayemali.com/product/%d8%af%d9%88%d8%b1%d9%87-%d9%88%d8%b1%d9%88%d8%af-%d9%85%d9%88%d9%81%d9%82-%d8%a8%d9%87-%d8%a8%d8%a7%d8%b2%d8%a7%d8%b1-%d8%b3%d8%b1%d9%85%d8%a7%db%8c%d9%87-%d8%a8%d9%88%d8%b1%d8%b3-%d8%a7%d9%86%d8%b1/
اکسل کاربردی ویژه کسب و کار,https://donyayemali.com/product/2346/
دوره یکساله تحلیلگرحرفه ای,https://donyayemali.com/product/2378/
سیستم معاملاتی ای سی دی(ACD),https://donyayemali.com/product/%d8%a2%d8%b4%d9%86%d8%a7%db%8c%db%8c-%d9%88-%d9%85%d8%b9%d8%a7%d9%85%d9%84%d9%87-%da%af%d8%b1%db%8c-%d8%af%d8%b1%d9%82%d8%b1%d8%a7%d8%b1%d8%af%d8%a7%d8%af%d9%87%d8%a7%db%8c-%d8%a7%d8%ae%d8%aa%db%8c/
دوره کاربردی تجزیه، تحلیل و برآوردصورت های مالی,https://donyayemali.com/product/%d8%a7%da%a9%d8%b3%d9%84-%da%a9%d8%a7%d8%b1%d8%a8%d8%b1%d8%af%db%8c-%d9%88%db%8c%da%98%d9%87-%da%a9%d8%b3%d8%a8-%d9%88-%da%a9%d8%a7%d8%b1/
دوره جامع نسل دوم مالی رفتاری در ایران,https://donyayemali.com/product/%d8%a2%d9%85%d9%88%d8%b2%d8%b4-%d9%85%d8%af%d8%b1%d9%86-%d9%88-%da%a9%d8%a7%d8%b1%d8%a8%d8%b1%d8%af%db%8c-%d8%a7%d8%ae%d8%aa%db%8c%d8%a7%d8%b1%d9%85%d8%b9%d8%a7%d9%85%d9%84%d9%87-%d8%a2%d9%be%d8%b4/
تحلیلگری داده های اقتصادی و مالی با پایتون,https://donyayemali.com/product/2434/
سرمایه گذاری و معامله گری در بازارهای جهانی,https://donyayemali.com/product/2349/
دوره تکنیکال جامع,https://donyayemali.com/product/2400/
فرصت های سرمایه گذاری در سال ۱۴۰۰,https://donyayemali.com/product/2421/
تحلیل اقتصادی سبد پروژه های صنعتی و ساخت داشبوردمدیریتی در پایتون,https://donyayemali.com/product/%d8%af%d9%88%d8%b1%d9%87-%da%a9%d8%a7%d8%b1%d8%a8%d8%b1%d8%af%db%8c-%d8%aa%d8%ac%d8%b2%db%8c%d9%87-%d8%8c-%d8%aa%d8%ad%d9%84%db%8c%d9%84-%d9%88-%d8%a8%d8%b1%d8%a2%d9%88%d8%b1%d8%af-%d8%b5%d9%88%d8%b1/
مدرسه بهاره مالی(دوره جامع ابزارمشتقه),https://donyayemali.com/product/%d9%85%d8%af%d8%b1%d8%b3%d9%87-%d8%b2%d9%85%d8%b3%d8%aa%d8%a7%d9%86%d9%87-%d9%85%d8%a7%d9%84%db%8c/
آموزش مدرن و کاربردی اختیارمعامله (آپشن),https://donyayemali.com/product/%d8%b3%d8%b1%d9%85%d8%a7%db%8c%d9%87-%da%af%d8%b0%d8%a7%d8%b1%db%8c-%d9%88-%d9%85%d8%b9%d8%a7%d9%85%d9%84%d9%87-%da%af%d8%b1%db%8c-%d8%af%d8%b1-%d8%a8%d8%a7%d8%b2%d8%a7%d8%b1%d9%87%d8%a7%db%8c-%d8%ac/
